"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.30","44.36","LUNENBURG","8203210","2010-02-14","2010","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-15","2010","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-16","2010","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-17","2010","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-18","2010","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-19","2010","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-20","2010","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-21","2010","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-22","2010","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-23","2010","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-24","2010","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-25","2010","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-26","2010","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-27","2010","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-02-28","2010","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-01","2010","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-02","2010","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-03","2010","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-04","2010","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-05","2010","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-06","2010","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-07","2010","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-08","2010","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-09","2010","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-10","2010","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-11","2010","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-12","2010","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-13","2010","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-14","2010","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-15","2010","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-16","2010","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-17","2010","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-18","2010","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-19","2010","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-20","2010","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-21","2010","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-22","2010","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-23","2010","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-24","2010","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-25","2010","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-26","2010","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-27","2010","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-28","2010","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-29","2010","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-30","2010","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-03-31","2010","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-01","2010","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-02","2010","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-03","2010","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-04","2010","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-05","2010","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-06","2010","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-07","2010","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-08","2010","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-09","2010","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-10","2010","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-11","2010","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-12","2010","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-13","2010","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-14","2010","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-15","2010","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-16","2010","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-17","2010","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-18","2010","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-19","2010","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-20","2010","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-21","2010","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-22","2010","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-23","2010","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-24","2010","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-25","2010","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-26","2010","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-27","2010","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-28","2010","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-29","2010","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-04-30","2010","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-01","2010","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-02","2010","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-03","2010","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-04","2010","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-05","2010","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-06","2010","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-07","2010","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-08","2010","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-09","2010","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-10","2010","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-11","2010","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-12","2010","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-13","2010","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-14","2010","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-15","2010","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-16","2010","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-17","2010","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-18","2010","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-19","2010","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-20","2010","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-21","2010","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-22","2010","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-23","2010","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-24","2010","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-25","2010","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-26","2010","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-27","2010","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-28","2010","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-29","2010","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-30","2010","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-05-31","2010","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-01","2010","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-02","2010","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-03","2010","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-04","2010","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-05","2010","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-06","2010","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-07","2010","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-08","2010","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-09","2010","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-10","2010","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-11","2010","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-12","2010","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-13","2010","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-14","2010","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-15","2010","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-16","2010","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-17","2010","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-18","2010","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-19","2010","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-20","2010","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-21","2010","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-22","2010","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-23","2010","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-24","2010","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-25","2010","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-26","2010","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-27","2010","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-28","2010","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-29","2010","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-06-30","2010","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-01","2010","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-02","2010","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-03","2010","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-04","2010","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-05","2010","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-06","2010","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-07","2010","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-08","2010","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-09","2010","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-10","2010","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-11","2010","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-12","2010","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-13","2010","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-14","2010","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-15","2010","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-16","2010","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-17","2010","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-18","2010","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-19","2010","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-20","2010","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-21","2010","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-22","2010","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-23","2010","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-24","2010","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-25","2010","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-26","2010","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-27","2010","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-28","2010","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-29","2010","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-30","2010","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-07-31","2010","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-01","2010","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-02","2010","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-03","2010","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-04","2010","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-05","2010","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-06","2010","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-07","2010","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-08","2010","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-09","2010","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-10","2010","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.30","44.36","LUNENBURG","8203210","2010-08-11","2010","08","11","","","","","","","","","","","","","","","","","","","","","","",""
